category,amc,metric,coverage_pct
ELSS,ITI,volatility,100.0
ELSS,JM,aum,100.0
ELSS,JM,cagr_1y,100.0
ELSS,JM,cagr_3y,100.0
ELSS,JM,cagr_5y,100.0
ELSS,JM,down_beta,100.0
ELSS,JM,iqr_3y,100.0
ELSS,JM,iqr_5y,100.0
ELSS,JM,ir,100.0
ELSS,JM,manager_experience,100.0
ELSS,JM,max_dd,100.0
ELSS,JM,pb,100.0
ELSS,JM,pe,100.0
ELSS,JM,return_3m,100.0
ELSS,JM,return_6m,100.0
ELSS,JM,roe,100.0
ELSS,JM,rolling_3y,100.0
ELSS,JM,rolling_5y,100.0
ELSS,JM,sector_hhi,100.0
ELSS,JM,sharpe,100.0
ELSS,JM,sortino,100.0
ELSS,JM,stock_count,100.0
ELSS,JM,ter,100.0
ELSS,JM,top10,100.0
ELSS,JM,top3_sector,100.0
ELSS,JM,turnover,100.0
ELSS,JM,up_beta,100.0
ELSS,JM,volatility,100.0
ELSS,KOTAK,aum,100.0
ELSS,KOTAK,cagr_1y,100.0
ELSS,KOTAK,cagr_3y,100.0
ELSS,KOTAK,cagr_5y,100.0
ELSS,KOTAK,down_beta,100.0
ELSS,KOTAK,iqr_3y,100.0
ELSS,KOTAK,iqr_5y,100.0
ELSS,KOTAK,ir,100.0
ELSS,KOTAK,manager_experience,100.0
ELSS,KOTAK,max_dd,100.0
ELSS,KOTAK,pb,100.0
ELSS,KOTAK,pe,100.0
ELSS,KOTAK,return_3m,100.0
ELSS,KOTAK,return_6m,100.0
ELSS,KOTAK,roe,100.0
ELSS,KOTAK,rolling_3y,100.0
ELSS,KOTAK,rolling_5y,100.0
ELSS,KOTAK,sector_hhi,100.0
ELSS,KOTAK,sharpe,100.0
ELSS,KOTAK,sortino,100.0
ELSS,KOTAK,stock_count,100.0
ELSS,KOTAK,ter,100.0
ELSS,KOTAK,top10,0.0
ELSS,KOTAK,top3_sector,100.0
ELSS,KOTAK,turnover,100.0
ELSS,KOTAK,up_beta,100.0
ELSS,KOTAK,volatility,100.0
ELSS,LIC,aum,100.0
ELSS,LIC,cagr_1y,100.0
ELSS,LIC,cagr_3y,100.0
ELSS,LIC,cagr_5y,100.0
ELSS,LIC,down_beta,100.0
ELSS,LIC,iqr_3y,100.0
ELSS,LIC,iqr_5y,100.0
ELSS,LIC,ir,100.0
ELSS,LIC,manager_experience,100.0
ELSS,LIC,max_dd,100.0
ELSS,LIC,pb,100.0
ELSS,LIC,pe,100.0
ELSS,LIC,return_3m,100.0
ELSS,LIC,return_6m,100.0
ELSS,LIC,roe,100.0
ELSS,LIC,rolling_3y,100.0
ELSS,LIC,rolling_5y,100.0
ELSS,LIC,sector_hhi,100.0
ELSS,LIC,sharpe,100.0
ELSS,LIC,sortino,100.0
ELSS,LIC,stock_count,100.0
ELSS,LIC,ter,100.0
ELSS,LIC,top10,100.0
ELSS,LIC,top3_sector,100.0
ELSS,LIC,turnover,100.0
ELSS,LIC,up_beta,100.0
ELSS,LIC,volatility,100.0
ELSS,MM,aum,100.0
ELSS,MM,cagr_1y,100.0
ELSS,MM,cagr_3y,100.0
ELSS,MM,cagr_5y,100.0
ELSS,MM,down_beta,100.0
ELSS,MM,iqr_3y,100.0
ELSS,MM,iqr_5y,100.0
ELSS,MM,ir,100.0
ELSS,MM,manager_experience,100.0
ELSS,MM,max_dd,100.0
ELSS,MM,pb,0.0
ELSS,MM,pe,0.0
ELSS,MM,return_3m,100.0
ELSS,MM,return_6m,100.0
ELSS,MM,roe,0.0
ELSS,MM,rolling_3y,100.0
ELSS,MM,rolling_5y,100.0
ELSS,MM,sector_hhi,100.0
ELSS,MM,sharpe,100.0
ELSS,MM,sortino,100.0
ELSS,MM,stock_count,100.0
ELSS,MM,ter,100.0
ELSS,MM,top10,100.0
ELSS,MM,top3_sector,100.0
ELSS,MM,turnover,100.0
ELSS,MM,up_beta,100.0
ELSS,MM,volatility,100.0
ELSS,MOTILAL,aum,100.0
ELSS,MOTILAL,cagr_1y,100.0
ELSS,MOTILAL,cagr_3y,100.0
ELSS,MOTILAL,cagr_5y,100.0
ELSS,MOTILAL,down_beta,100.0
ELSS,MOTILAL,iqr_3y,100.0
ELSS,MOTILAL,iqr_5y,100.0
ELSS,MOTILAL,ir,100.0
ELSS,MOTILAL,manager_experience,100.0
ELSS,MOTILAL,max_dd,100.0
ELSS,MOTILAL,pb,100.0
ELSS,MOTILAL,pe,100.0
ELSS,MOTILAL,return_3m,100.0
ELSS,MOTILAL,return_6m,100.0
ELSS,MOTILAL,roe,100.0
ELSS,MOTILAL,rolling_3y,100.0
ELSS,MOTILAL,rolling_5y,100.0
ELSS,MOTILAL,sector_hhi,100.0
ELSS,MOTILAL,sharpe,100.0
ELSS,MOTILAL,sortino,100.0
ELSS,MOTILAL,stock_count,100.0
ELSS,MOTILAL,ter,100.0
ELSS,MOTILAL,top10,100.0
ELSS,MOTILAL,top3_sector,100.0
ELSS,MOTILAL,turnover,100.0
ELSS,MOTILAL,up_beta,100.0
ELSS,MOTILAL,volatility,100.0
ELSS,NAVI,aum,100.0
ELSS,NAVI,cagr_1y,100.0
ELSS,NAVI,cagr_3y,100.0
ELSS,NAVI,cagr_5y,100.0
ELSS,NAVI,down_beta,100.0
ELSS,NAVI,iqr_3y,100.0
ELSS,NAVI,iqr_5y,100.0
ELSS,NAVI,ir,100.0
ELSS,NAVI,manager_experience,100.0
ELSS,NAVI,max_dd,100.0
ELSS,NAVI,pb,100.0
ELSS,NAVI,pe,100.0
ELSS,NAVI,return_3m,100.0
ELSS,NAVI,return_6m,100.0
ELSS,NAVI,roe,100.0
ELSS,NAVI,rolling_3y,100.0
ELSS,NAVI,rolling_5y,100.0
ELSS,NAVI,sector_hhi,100.0
ELSS,NAVI,sharpe,100.0
ELSS,NAVI,sortino,100.0
ELSS,NAVI,stock_count,100.0
ELSS,NAVI,ter,100.0
ELSS,NAVI,top10,100.0
ELSS,NAVI,top3_sector,100.0
ELSS,NAVI,turnover,100.0
ELSS,NAVI,up_beta,100.0
ELSS,NAVI,volatility,100.0
ELSS,NIPPON,aum,100.0
ELSS,NIPPON,cagr_1y,100.0
ELSS,NIPPON,cagr_3y,100.0
ELSS,NIPPON,cagr_5y,100.0
ELSS,NIPPON,down_beta,100.0
ELSS,NIPPON,iqr_3y,100.0
ELSS,NIPPON,iqr_5y,100.0
ELSS,NIPPON,ir,100.0
ELSS,NIPPON,manager_experience,100.0
ELSS,NIPPON,max_dd,100.0
ELSS,NIPPON,pb,100.0
ELSS,NIPPON,pe,100.0
ELSS,NIPPON,return_3m,100.0
ELSS,NIPPON,return_6m,100.0
ELSS,NIPPON,roe,100.0
ELSS,NIPPON,rolling_3y,100.0
ELSS,NIPPON,rolling_5y,100.0
ELSS,NIPPON,sector_hhi,100.0
ELSS,NIPPON,sharpe,100.0
ELSS,NIPPON,sortino,100.0
ELSS,NIPPON,stock_count,100.0
ELSS,NIPPON,ter,100.0
ELSS,NIPPON,top10,100.0
ELSS,NIPPON,top3_sector,100.0
ELSS,NIPPON,turnover,100.0
ELSS,NIPPON,up_beta,100.0
ELSS,NIPPON,volatility,100.0
ELSS,PGIM,aum,100.0
ELSS,PGIM,cagr_1y,100.0
ELSS,PGIM,cagr_3y,100.0
ELSS,PGIM,cagr_5y,100.0
ELSS,PGIM,down_beta,100.0
ELSS,PGIM,iqr_3y,100.0
ELSS,PGIM,iqr_5y,100.0
ELSS,PGIM,ir,100.0
ELSS,PGIM,manager_experience,100.0
ELSS,PGIM,max_dd,100.0
ELSS,PGIM,pb,100.0
ELSS,PGIM,pe,100.0
ELSS,PGIM,return_3m,100.0
ELSS,PGIM,return_6m,100.0
ELSS,PGIM,roe,100.0
ELSS,PGIM,rolling_3y,100.0
ELSS,PGIM,rolling_5y,100.0
ELSS,PGIM,sector_hhi,100.0
ELSS,PGIM,sharpe,100.0
ELSS,PGIM,sortino,100.0
ELSS,PGIM,stock_count,100.0
ELSS,PGIM,ter,100.0
ELSS,PGIM,top10,100.0
ELSS,PGIM,top3_sector,100.0
ELSS,PGIM,turnover,100.0
ELSS,PGIM,up_beta,100.0
ELSS,PGIM,volatility,100.0
ELSS,PPFAS,aum,100.0
ELSS,PPFAS,cagr_1y,100.0
ELSS,PPFAS,cagr_3y,100.0
ELSS,PPFAS,cagr_5y,100.0
ELSS,PPFAS,down_beta,100.0
ELSS,PPFAS,iqr_3y,100.0
ELSS,PPFAS,iqr_5y,100.0
ELSS,PPFAS,ir,100.0
