amc,metric,coverage_pct
KOTAK,stock_count,100.0
KOTAK,ter,100.0
KOTAK,top10,0.0
KOTAK,top3_sector,100.0
KOTAK,turnover,100.0
KOTAK,up_beta,90.0
KOTAK,volatility,100.0
LIC,aum,100.0
LIC,cagr_1y,100.0
LIC,cagr_3y,50.0
LIC,cagr_5y,50.0
LIC,down_beta,100.0
LIC,iqr_3y,50.0
LIC,iqr_5y,50.0
LIC,ir,100.0
LIC,manager_experience,100.0
LIC,max_dd,100.0
LIC,pb,100.0
LIC,pe,100.0
LIC,return_3m,100.0
LIC,return_6m,100.0
LIC,roe,100.0
LIC,rolling_3y,50.0
LIC,rolling_5y,50.0
LIC,sector_hhi,100.0
LIC,sharpe,100.0
LIC,sortino,100.0
LIC,stock_count,100.0
LIC,ter,100.0
LIC,top10,100.0
LIC,top3_sector,100.0
LIC,turnover,100.0
LIC,up_beta,100.0
LIC,volatility,100.0
MIRAE,aum,100.0
MIRAE,cagr_1y,100.0
MIRAE,cagr_3y,80.0
MIRAE,cagr_5y,80.0
MIRAE,down_beta,100.0
MIRAE,iqr_3y,80.0
MIRAE,iqr_5y,80.0
MIRAE,ir,100.0
MIRAE,manager_experience,100.0
MIRAE,max_dd,100.0
MIRAE,pb,100.0
MIRAE,pe,100.0
MIRAE,return_3m,100.0
MIRAE,return_6m,100.0
MIRAE,roe,100.0
MIRAE,rolling_3y,80.0
MIRAE,rolling_5y,80.0
MIRAE,sector_hhi,100.0
MIRAE,sharpe,100.0
MIRAE,sortino,100.0
MIRAE,stock_count,100.0
MIRAE,ter,100.0
MIRAE,top10,100.0
MIRAE,top3_sector,100.0
MIRAE,turnover,100.0
MIRAE,up_beta,100.0
MIRAE,volatility,100.0
MM,aum,100.0
MM,cagr_1y,88.88888888888889
MM,cagr_3y,88.88888888888889
MM,cagr_5y,66.66666666666666
MM,down_beta,77.77777777777779
MM,iqr_3y,66.66666666666666
MM,iqr_5y,66.66666666666666
MM,ir,77.77777777777779
MM,manager_experience,100.0
MM,max_dd,88.88888888888889
MM,pb,11.11111111111111
MM,pe,11.11111111111111
MM,return_3m,88.88888888888889
MM,return_6m,88.88888888888889
MM,roe,11.11111111111111
MM,rolling_3y,66.66666666666666
MM,rolling_5y,66.66666666666666
MM,sector_hhi,100.0
MM,sharpe,77.77777777777779
MM,sortino,77.77777777777779
MM,stock_count,100.0
MM,ter,100.0
MM,top10,100.0
MM,top3_sector,100.0
MM,turnover,100.0
MM,up_beta,77.77777777777779
MM,volatility,88.88888888888889
MOTILAL,aum,100.0
MOTILAL,cagr_1y,100.0
MOTILAL,cagr_3y,71.42857142857143
MOTILAL,cagr_5y,71.42857142857143
MOTILAL,down_beta,71.42857142857143
MOTILAL,iqr_3y,71.42857142857143
MOTILAL,iqr_5y,71.42857142857143
MOTILAL,ir,71.42857142857143
MOTILAL,manager_experience,100.0
MOTILAL,max_dd,100.0
MOTILAL,pb,100.0
MOTILAL,pe,100.0
MOTILAL,return_3m,100.0
MOTILAL,return_6m,100.0
MOTILAL,roe,100.0
MOTILAL,rolling_3y,71.42857142857143
MOTILAL,rolling_5y,71.42857142857143
MOTILAL,sector_hhi,100.0
MOTILAL,sharpe,71.42857142857143
MOTILAL,sortino,71.42857142857143
MOTILAL,stock_count,100.0
MOTILAL,ter,100.0
MOTILAL,top10,100.0
MOTILAL,top3_sector,100.0
MOTILAL,turnover,100.0
MOTILAL,up_beta,71.42857142857143
MOTILAL,volatility,100.0
NAVI,aum,100.0
NAVI,cagr_1y,100.0
NAVI,cagr_3y,100.0
NAVI,cagr_5y,100.0
NAVI,down_beta,100.0
NAVI,iqr_3y,100.0
NAVI,iqr_5y,100.0
NAVI,ir,100.0
NAVI,manager_experience,100.0
NAVI,max_dd,100.0
NAVI,pb,100.0
NAVI,pe,100.0
NAVI,return_3m,100.0
NAVI,return_6m,100.0
NAVI,roe,100.0
NAVI,rolling_3y,100.0
NAVI,rolling_5y,100.0
NAVI,sector_hhi,100.0
NAVI,sharpe,100.0
NAVI,sortino,100.0
NAVI,stock_count,100.0
NAVI,ter,100.0
NAVI,top10,100.0
NAVI,top3_sector,100.0
NAVI,turnover,100.0
NAVI,up_beta,100.0
NAVI,volatility,100.0
NIPPON,aum,100.0
NIPPON,cagr_1y,100.0
NIPPON,cagr_3y,100.0
NIPPON,cagr_5y,88.88888888888889
NIPPON,down_beta,100.0
NIPPON,iqr_3y,88.88888888888889
NIPPON,iqr_5y,88.88888888888889
NIPPON,ir,100.0
NIPPON,manager_experience,100.0
NIPPON,max_dd,100.0
NIPPON,pb,100.0
NIPPON,pe,100.0
NIPPON,return_3m,100.0
NIPPON,return_6m,100.0
NIPPON,roe,100.0
NIPPON,rolling_3y,88.88888888888889
NIPPON,rolling_5y,88.88888888888889
NIPPON,sector_hhi,100.0
NIPPON,sharpe,100.0
NIPPON,sortino,100.0
NIPPON,stock_count,100.0
NIPPON,ter,100.0
NIPPON,top10,100.0
NIPPON,top3_sector,100.0
NIPPON,turnover,100.0
NIPPON,up_beta,100.0
NIPPON,volatility,100.0
ONE360,aum,100.0
ONE360,cagr_1y,100.0
ONE360,cagr_3y,50.0
ONE360,cagr_5y,50.0
ONE360,down_beta,100.0
ONE360,iqr_3y,50.0
ONE360,iqr_5y,50.0
ONE360,ir,100.0
ONE360,manager_experience,0.0
ONE360,max_dd,100.0
ONE360,pb,100.0
ONE360,pe,100.0
ONE360,return_3m,100.0
ONE360,return_6m,100.0
ONE360,roe,100.0
ONE360,rolling_3y,50.0
ONE360,rolling_5y,50.0
ONE360,sector_hhi,100.0
ONE360,sharpe,100.0
ONE360,sortino,100.0
ONE360,stock_count,100.0
ONE360,ter,100.0
ONE360,top10,100.0
ONE360,top3_sector,100.0
ONE360,turnover,100.0
ONE360,up_beta,100.0
ONE360,volatility,100.0
PGIM,aum,100.0
PGIM,cagr_1y,100.0
PGIM,cagr_3y,71.42857142857143
PGIM,cagr_5y,57.14285714285714
PGIM,down_beta,71.42857142857143
PGIM,iqr_3y,57.14285714285714
PGIM,iqr_5y,57.14285714285714
PGIM,ir,71.42857142857143
PGIM,manager_experience,100.0
PGIM,max_dd,100.0
PGIM,pb,100.0
PGIM,pe,100.0
PGIM,return_3m,100.0
PGIM,return_6m,100.0
PGIM,roe,100.0
PGIM,rolling_3y,57.14285714285714
PGIM,rolling_5y,57.14285714285714
PGIM,sector_hhi,100.0
PGIM,sharpe,71.42857142857143
PGIM,sortino,71.42857142857143
PGIM,stock_count,100.0
PGIM,ter,100.0
PGIM,top10,100.0
PGIM,top3_sector,100.0
PGIM,turnover,100.0
PGIM,up_beta,71.42857142857143
PGIM,volatility,100.0
PPFAS,aum,100.0
PPFAS,cagr_1y,100.0
PPFAS,cagr_3y,100.0
PPFAS,cagr_5y,100.0
PPFAS,down_beta,100.0
PPFAS,iqr_3y,100.0
PPFAS,iqr_5y,100.0
PPFAS,ir,100.0
PPFAS,manager_experience,100.0
PPFAS,max_dd,100.0
PPFAS,pb,100.0
PPFAS,pe,100.0
PPFAS,return_3m,100.0
PPFAS,return_6m,100.0
PPFAS,roe,100.0
PPFAS,rolling_3y,100.0
PPFAS,rolling_5y,100.0
PPFAS,sector_hhi,100.0
PPFAS,sharpe,100.0
PPFAS,sortino,100.0
PPFAS,stock_count,100.0
PPFAS,ter,100.0
PPFAS,top10,100.0
PPFAS,top3_sector,100.0
PPFAS,turnover,100.0
PPFAS,up_beta,100.0
PPFAS,volatility,100.0
QUANT,aum,100.0
QUANT,cagr_1y,100.0
QUANT,cagr_3y,100.0
QUANT,cagr_5y,77.77777777777779
QUANT,down_beta,100.0
QUANT,iqr_3y,77.77777777777779
QUANT,iqr_5y,77.77777777777779
QUANT,ir,100.0
QUANT,manager_experience,100.0
QUANT,max_dd,100.0
QUANT,pb,100.0
QUANT,pe,100.0
QUANT,return_3m,100.0
QUANT,return_6m,100.0
QUANT,roe,100.0
QUANT,rolling_3y,77.77777777777779
QUANT,rolling_5y,77.77777777777779
QUANT,sector_hhi,100.0
QUANT,sharpe,100.0
QUANT,sortino,100.0
QUANT,stock_count,100.0
QUANT,ter,100.0
QUANT,top10,100.0
QUANT,top3_sector,100.0
QUANT,turnover,100.0
QUANT,up_beta,100.0
QUANT,volatility,100.0
QUANTUM,aum,100.0
QUANTUM,cagr_1y,100.0
QUANTUM,cagr_3y,66.66666666666666
QUANTUM,cagr_5y,66.66666666666666
QUANTUM,down_beta,66.66666666666666
QUANTUM,iqr_3y,66.66666666666666
QUANTUM,iqr_5y,66.66666666666666
QUANTUM,ir,66.66666666666666
QUANTUM,manager_experience,100.0
QUANTUM,max_dd,100.0
QUANTUM,pb,100.0
QUANTUM,pe,100.0
QUANTUM,return_3m,100.0
QUANTUM,return_6m,100.0
QUANTUM,roe,100.0
QUANTUM,rolling_3y,66.66666666666666
QUANTUM,rolling_5y,66.66666666666666
QUANTUM,sector_hhi,100.0
QUANTUM,sharpe,66.66666666666666
QUANTUM,sortino,66.66666666666666
QUANTUM,stock_count,100.0
QUANTUM,ter,100.0
QUANTUM,top10,100.0
QUANTUM,top3_sector,100.0
QUANTUM,turnover,100.0
QUANTUM,up_beta,66.66666666666666
QUANTUM,volatility,100.0
SAMCO,aum,100.0
SAMCO,cagr_1y,60.0
SAMCO,cagr_3y,40.0
SAMCO,cagr_5y,0.0
SAMCO,down_beta,40.0
SAMCO,iqr_3y,0.0
SAMCO,iqr_5y,0.0
SAMCO,ir,40.0
SAMCO,manager_experience,100.0
